"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INDIAMART","EQ","30-Jun-2025","2,608.30","2,615.80","2,618.80","2,539.00","2,592.00","2,598.00","2,580.55","1,04,825","27,05,05,781.70","18,452","52,763","50.33"
"INDIAMART","EQ","01-Jul-2025","2,598.00","2,607.00","2,639.80","2,580.70","2,595.00","2,597.80","2,594.71","94,488","24,51,68,659.10","19,783","64,253","68.00"
"INDIAMART","EQ","02-Jul-2025","2,597.80","2,601.00","2,609.80","2,545.60","2,587.70","2,569.50","2,566.39","1,09,048","27,98,59,439.00","17,863","64,278","58.94"
"INDIAMART","EQ","03-Jul-2025","2,569.50","2,587.20","2,593.90","2,540.00","2,566.00","2,580.10","2,566.69","1,41,522","36,32,42,648.70","19,589","96,659","68.30"
"INDIAMART","EQ","04-Jul-2025","2,580.10","2,575.00","2,592.90","2,530.00","2,549.90","2,546.70","2,544.29","1,84,456","46,93,08,949.50","22,443","1,39,012","75.36"
